ID,Sex,Age
S8-1-0069,2,14
S8-1-0070,1,33
S8-1-0071,1,15
S8-1-0072,2,19
S8-1-0073,2,25
S8-1-0074,2,17
S8-1-0075,2,41
S9-1-0001,1,26
S9-1-0002,1,27
S9-1-0003,2,42
S9-1-0004,2,22
S9-1-0005,2,44
S9-1-0006,1,17
S9-1-0007,2,44
S9-1-0008,1,23
S9-1-0009,2,19
S9-1-0010,2,28
S9-1-0011,2,46
S9-1-0012,1,40
S9-1-0013,2,27
S9-1-0014,1,39
S9-1-0015,2,21
S9-1-0016,2,18
S9-1-0017,2,25
S9-1-0018,2,26
S9-1-0019,2,34
S9-1-0020,2,17
S9-1-0021,2,26
S9-1-0022,2,18
S9-1-0023,1,35
S9-1-0024,1,18
S9-1-0025,2,26
S9-1-0026,1,34
S9-1-0027,1,34
S9-1-0028,2,29
S9-1-0029,1,19
S9-1-0030,2,26
S9-1-0031,2,26
S9-1-0032,2,18
S9-1-0033,2,21
S9-1-0034,1,42
S9-1-0035,1,35
S9-1-0036,1,18
S9-1-0037,2,18
S9-1-0038,1,51
S9-1-0039,2,26
S9-1-0040,1,28
S9-1-0041,2,26
S9-1-0042,1,33
S9-1-0043,2,29
S9-1-0044,1,34
S9-1-0045,1,18
S9-1-0046,1,38
S9-1-0047,2,26
S9-1-0048,1,18
S9-1-0049,1,26
S9-1-0050,1,24
S10-1-0001,2,42
S10-1-0002,1,25
S10-1-0003,2,21
S10-1-0004,1,27
S10-1-0005,2,20
S10-1-0006,2,20
S10-1-0007,1,23
S10-1-0008,2,43
S10-1-0009,1,23
S10-1-0010,2,32
S10-1-0011,2,37
S10-1-0012,2,32
S10-1-0013,1,34
S10-1-0014,1,35
S10-1-0015,2,21
S10-1-0016,2,40
S10-1-0017,2,43
S10-1-0018,2,46
S10-1-0019,1,49
S10-1-0020,2,30
S10-1-0021,2,27
S10-1-0022,2,37
S10-1-0023,2,46
S10-1-0024,2,30
S10-1-0025,2,21
S10-1-0026,1,23
S10-1-0027,1,28
S10-1-0028,2,22
S10-1-0029,1,28
S10-1-0030,1,41
S10-1-0031,2,50
S10-1-0032,2,19
S10-1-0033,1,48
S10-1-0034,1,18
S10-1-0035,2,49
S10-1-0036,2,40
S10-1-0037,2,51
S10-1-0038,1,19
S10-1-0039,1,24
S10-1-0040,1,20
S10-1-0041,1,45
S10-1-0042,1,18
S10-1-0043,2,23
S10-1-0044,1,46
S10-1-0045,2,40
S10-1-0046,1,30
S10-1-0047,2,31
S10-1-0048,1,44
S10-1-0049,2,48
S10-1-0050,1,41
S11-1-0001,1,26
S11-1-0002,2,40
S11-1-0003,1,26
S11-1-0004,2,20
S11-1-0005,2,18
S11-1-0006,1,19
S11-1-0007,2,50
S11-1-0008,2,23
S11-1-0009,2,28
S11-1-0010,2,22
S11-1-0011,1,37
S11-1-0012,2,35
S11-1-0013,2,22
S11-1-0014,2,42
S11-1-0015,1,31
S11-1-0016,2,55
S11-1-0017,1,21
S11-1-0018,2,30
S11-1-0019,2,23
S11-1-0020,1,16
S11-1-0021,1,19
S11-1-0022,1,26
S11-1-0023,1,36
S11-1-0024,2,50
S11-1-0025,2,40
S11-1-0026,1,26
S11-1-0027,1,16
S11-1-0028,2,18
S11-1-0029,2,42
S11-1-0030,2,40
S11-1-0031,2,38
S11-1-0032,1,39
S12-1-0001,2,22
S12-1-0002,2,27
S12-1-0003,2,30
S12-1-0004,1,27
S12-1-0005,1,40
S12-1-0006,2,29
S12-1-0007,2,41
S12-1-0008,2,22
S12-1-0009,2,35
S12-1-0010,2,40
S12-1-0011,2,19
S12-1-0012,2,41
S12-1-0013,2,21
S12-1-0014,2,18
S12-1-0015,2,25
S12-1-0016,1,25
S12-1-0017,1,37
S12-1-0018,2,41
S12-1-0019,2,50
S12-1-0020,2,33
S12-1-0021,2,43
S12-1-0022,2,36
S12-1-0023,2,30
S12-1-0024,2,51
S12-1-0025,1,47
S12-1-0026,2,51
S12-1-0027,2,34
S12-1-0028,2,29
S12-1-0029,2,40
S12-1-0030,2,32
S12-1-0031,2,39
S12-1-0032,1,50
S13-1-0001,1,42
S13-1-0002,2,48
S13-1-0003,2,25
S13-1-0004,2,42
S13-1-0005,1,37
S13-1-0006,2,27
S13-1-0007,2,33
S13-1-0008,2,27
S13-1-0009,2,42
S13-1-0010,2,55
S13-1-0011,2,47
S13-1-0012,1,25
S13-1-0013,2,28
S13-1-0014,1,30
S13-1-0015,2,22
S13-1-0016,1,21
S13-1-0017,1,24
S13-1-0018,2,29
S13-1-0019,1,19
S13-1-0020,2,23
S13-1-0021,1,35
S13-1-0022,2,31
S13-1-0023,1,28
S13-1-0024,1,33
S13-1-0025,1,34
S14-1-0001,2,32
S14-1-0002,2,33
S14-1-0003,2,41
S14-1-0004,2,41
